,X,Y
1281,56304,8560
1282,56816,8560
1283,57328,8560
1284,58096,8560
1285,58352,8560
1286,58864,8560
1287,59120,8560
1288,59888,8560
1289,60144,8560
1290,60400,8560
1291,60656,8560
1292,60912,8560
1293,61424,8560
1294,61680,8560
1295,61936,8560
1296,62192,8560
1297,62448,8560
1298,68756,8576
1299,69012,8576
1300,69524,8576
1301,69780,8576
1302,70036,8576
1303,70292,8576
1304,70548,8576
1305,71060,8576
1306,71316,8576
1307,71572,8576
1308,71828,8576
1309,72084,8576
1310,72340,8576
1311,72596,8576
1312,72852,8576
1313,73364,8576
1314,74132,8576
1315,74644,8576
1316,74900,8576
1317,75156,8576
1318,75412,8576
1319,75668,8576
1320,75924,8576
1321,76436,8576
1322,76692,8576
1323,76948,8576
1324,28641,8577
1325,28897,8577
1326,29409,8577
1327,29921,8577
1328,30177,8577
1329,30689,8577
1330,30945,8577
1331,43248,8816
1332,45296,8816
1333,45808,8816
1334,46320,8816
1335,46576,8816
1336,47088,8816
1337,47344,8816
1338,47856,8816
1339,48368,8816
1340,52208,8816
1341,52720,8816
1342,53232,8816
1343,53488,8816
1344,54256,8816
1345,54512,8816
1346,54768,8816
1347,55024,8816
1348,56048,8816
1349,56816,8816
1350,57840,8816
1351,58608,8816
1352,59376,8816
1353,60656,8816
1354,60912,8816
1355,61168,8816
1356,61424,8816
1357,61680,8816
1358,61936,8816
1359,62448,8816
1360,62704,8816
1361,62960,8816
1362,69012,8832
1363,69780,8832
1364,70548,8832
1365,70804,8832
1366,71572,8832
1367,72084,8832
1368,72852,8832
1369,73108,8832
1370,73620,8832
1371,73876,8832
1372,74132,8832
1373,74388,8832
1374,74644,8832
1375,74900,8832
1376,75412,8832
1377,75924,8832
1378,76180,8832
1379,76436,8832
1380,27873,8833
1381,28385,8833
1382,28641,8833
1383,29153,8833
1384,29921,8833
1385,30177,8833
1386,30433,8833
1387,31201,8833
1388,42480,9072
1389,42736,9072
1390,43504,9072
1391,44784,9072
1392,45808,9072
1393,46320,9072
1394,46576,9072
1395,46832,9072
1396,51696,9072
1397,51952,9072
1398,53232,9072
1399,53744,9072
1400,54000,9072
1401,54256,9072
1402,54512,9072
1403,54768,9072
1404,55280,9072
1405,55536,9072
1406,55792,9072
1407,56048,9072
1408,56816,9072
1409,57584,9072
1410,57840,9072
1411,58096,9072
1412,58608,9072
1413,58864,9072
1414,59376,9072
1415,60656,9072
1416,61168,9072
1417,61424,9072
1418,61680,9072
1419,62192,9072
1420,72084,9088
1421,72852,9088
1422,73108,9088
1423,74132,9088
1424,74644,9088
1425,75156,9088
1426,75412,9088
