X,Y
74480,10864
75504,10864
40176,11120
41456,11120
43504,11120
45040,11120
45808,11120
47600,11120
47856,11120
48880,11120
49136,11120
49648,11120
50160,11120
50928,11120
51184,11120
56560,11120
57840,11120
58352,11120
58608,11120
58864,11120
59120,11120
60912,11120
61168,11120
61680,11120
63728,11120
63984,11120
65264,11120
65776,11120
66032,11120
68080,11120
68848,11120
69104,11120
69360,11120
70384,11120
70640,11120
70896,11120
71152,11120
71920,11120
72688,11120
73200,11120
73712,11120
74224,11120
75760,11120
76784,11120
80112,11120
80880,11120
81904,11120
40432,11376
41456,11376
41712,11376
41968,11376
42736,11376
43248,11376
45808,11376
47088,11376
48112,11376
49136,11376
49392,11376
52464,11376
53232,11376
54768,11376
55792,11376
57072,11376
57584,11376
59888,11376
60400,11376
60656,11376
61424,11376
61680,11376
62192,11376
63472,11376
64240,11376
64496,11376
64752,11376
65008,11376
65264,11376
65520,11376
66032,11376
67056,11376
68080,11376
68592,11376
69104,11376
70640,11376
71408,11376
71920,11376
72688,11376
76528,11376
77296,11376
78832,11376
79600,11376
81392,11376
43248,11632
44784,11632
47088,11632
51952,11632
52976,11632
53744,11632
55536,11632
56816,11632
58864,11632
59632,11632
60144,11632
60400,11632
61168,11632
61424,11632
61680,11632
62192,11632
62704,11632
62960,11632
63216,11632
63472,11632
65264,11632
65776,11632
66288,11632
66800,11632
67056,11632
67824,11632
68080,11632
68592,11632
69360,11632
69872,11632
70896,11632
71152,11632
71408,11632
72688,11632
72944,11632
73456,11632
74480,11632
74992,11632
76016,11632
76528,11632
77552,11632
79344,11632
80112,11632
39664,11888
40432,11888
41200,11888
42224,11888
42736,11888
43760,11888
44272,11888
45808,11888
48112,11888
48880,11888
50416,11888
51440,11888
52976,11888
53232,11888
54000,11888
55280,11888
55536,11888
55792,11888
56304,11888
57840,11888
58096,11888
59632,11888
59888,11888
60656,11888
61424,11888
62960,11888
64752,11888
65264,11888
66544,11888
67056,11888
68848,11888
69872,11888
70384,11888
70896,11888
71664,11888
73456,11888
74480,11888
74992,11888
76784,11888
79088,11888
79856,11888
80112,11888
80368,11888
80880,11888
41456,12144
42480,12144
42736,12144
43760,12144
49648,12144
50160,12144
50416,12144
51952,12144
52208,12144
53232,12144
53744,12144
54000,12144
55280,12144
58096,12144
60400,12144
60912,12144
61424,12144
61680,12144
61936,12144
63728,12144
63984,12144
64240,12144
64496,12144
65520,12144
66032,12144
66544,12144
67312,12144
67568,12144
68336,12144
69360,12144
69872,12144
70640,12144
72432,12144
74736,12144
74992,12144
76016,12144
77552,12144
78064,12144
78320,12144
80368,12144
42736,12400
42992,12400
44784,12400
47088,12400
49136,12400
49904,12400
51952,12400
52464,12400
53232,12400
54000,12400
54512,12400
56816,12400
57072,12400
59888,12400
60400,12400
62704,12400
63216,12400
64240,12400
64496,12400
66288,12400
66800,12400
67824,12400
68848,12400
69360,12400
69872,12400
70128,12400
72176,12400
72432,12400
72944,12400
73456,12400
73712,12400
73968,12400
74224,12400
74736,12400
74992,12400
75760,12400
76016,12400
77040,12400
78576,12400
79856,12400
80624,12400
80880,12400
81392,12400
82160,12400
82672,12400
82928,12400
83440,12400
40432,12656
41456,12656
41968,12656
42736,12656
42992,12656
43248,12656
43504,12656
44272,12656
44528,12656
44784,12656
48624,12656
49136,12656
51184,12656
51952,12656
52464,12656
53744,12656
54000,12656
55024,12656
58352,12656
58608,12656
59376,12656
60400,12656
61936,12656
62192,12656
62448,12656
63216,12656
63472,12656
65008,12656
66544,12656
67056,12656
67312,12656
67568,12656
68336,12656
68592,12656
70128,12656
70640,12656
71920,12656
72176,12656
72688,12656
73456,12656
74224,12656
74480,12656
77808,12656
78320,12656
79856,12656
80880,12656
82928,12656
83184,12656
83440,12656
83696,12656
84208,12656
39152,12912
39664,12912
40176,12912
40944,12912
41712,12912
41968,12912
42736,12912
43248,12912
43504,12912
44016,12912
45552,12912
47856,12912
49392,12912
55792,12912
58608,12912
59376,12912
59632,12912
61168,12912
62192,12912
62704,12912
64240,12912
64496,12912
66800,12912
67056,12912
67312,12912
67568,12912
68336,12912
69360,12912
70384,12912
