x,y,real_dapi,real_foxp3,real_cd19,real_cd68,real_cd4,real_cd3,real_cd8,real_sampleaf,fake_dapi,fake_foxp3,fake_cd19,fake_cd68,fake_cd4,fake_cd3,fake_cd8,fake_sampleaf
35021,33779,34.63,9.038,4.354,18.382,9.169,23.114,23.728,18.619,35.822,9.084,2.995,22.418,13.929,14.924,38.251,18.177
85197,48115,30.586,8.345,4.035,14.626,6.886,24.076,19.544,17.089,21.325,8.853,2.816,19.524,7.788,10.502,25.293,21.223
12493,9203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.694,6.294,3.182,17.911,8.093,13.809,18.869,15.49
44237,28659,29.356,7.331,4.624,15.037,10.264,27.662,18.955,15.267,27.274,6.372,3.696,14.761,10.967,7.991,24.085,12.522
80077,45043,36.016,5.255,3.809,8.75,6.297,6.355,9.105,9.615,24.311,6.838,2.627,12.451,5.899,9.985,15.878,20.992
41165,71667,48.621,6.055,6.401,12.671,11.094,16.712,14.595,10.994,38.744,8.321,3.76,17.999,19.996,4.569,30.464,25.767
64717,56307,27.432,7.757,4.785,14.765,11.394,25.222,16.951,13.918,25.787,7.567,3.198,17.303,9.01,7.152,20.8,15.27
48333,69619,41.149,5.464,4.153,12.273,9.328,7.558,11.75,9.802,38.982,8.909,2.755,18.034,10.764,0.584,29.249,26.126
63693,60403,37.535,4.365,4.219,8.175,6.714,5.219,7.714,8.492,31.737,5.93,3.096,13.458,9.008,0.253,14.671,20.422
36045,70643,23.583,6.508,4.727,18.432,9.647,27.317,18.516,13.29,22.692,8.782,2.633,12.52,11.247,17.136,34.674,24.012
46285,17395,23.746,4.378,4.497,10.432,9.08,7.936,10.674,9.711,24.445,4.067,3.953,11.873,14.603,0.559,14.684,12.461
53453,57331,44.309,8.07,5.924,16.568,13.862,21.28,20.255,14.172,34.675,7.336,3.641,22.854,13.718,5.289,28.835,14.811
80077,50163,25.312,8.95,4.395,15.154,8.463,31.378,20.179,17.279,22.808,6.69,3.15,14.788,10.337,12.072,19.462,9.918
28877,21491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.775,5.055,3.666,14.598,15.215,2.923,18.559,12.658
87245,62451,2.522,1.638,1.484,1.486,2.35,3.022,1.345,5.9,8.737,4.167,2.151,8.632,2.695,-2.513,4.928,19.868
46285,23539,37.784,4.197,4.122,10.695,7.298,6.246,9.543,9.098,33.048,4.481,3.378,11.771,8.92,3.141,20.154,13.236
61645,48115,37.056,8.161,4.754,15.351,12.535,27.441,19.579,14.962,28.431,7.688,3.009,17.798,9.959,8.005,23.046,14.151
23757,73715,52.164,8.473,5.452,18.496,17.092,24.424,21.946,15.81,41.856,10.243,3.317,23.991,19.8,8.045,34.26,25.066
40141,8179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.267,4.443,3.673,11.268,15.143,6.223,18.221,11.256
65741,72691,38.989,3.896,4.328,10.769,6.284,5.074,8.911,9.039,28.582,4.681,3.495,14.188,13.179,1.016,13.666,17.672
64717,48115,24.109,8.138,4.807,22.007,12.647,36.562,18.435,14.993,20.601,6.987,3.034,20.877,10.216,11.705,23.494,11.771
78029,24563,29.607,4.395,2.333,7.002,3.776,7.332,8.483,9.395,29.022,3.941,3.678,10.071,12.188,2.695,12.855,11.931
67789,17395,22.993,7.114,3.434,10.919,6.348,44.522,16.945,14.105,22.573,5.8,3.471,12.134,9.989,18.732,19.393,11.317
72909,58355,25.788,8.338,4.922,16.595,8.685,29.256,18.883,16.338,22.045,8.052,3.969,21.371,16.005,9.63,24.253,18.575
27853,42995,27.341,6.433,4.605,13.887,9.614,24.351,17.274,12.772,27.75,5.802,3.586,17.995,15.031,23.32,22.455,13.825
55501,31731,25.609,7.714,4.824,24.775,11.572,30.071,18.184,15.247,27.821,6.205,3.883,22.363,15.793,8.691,21.105,10.88
51405,42995,37.842,7.734,4.371,13.689,10.29,16.073,18.743,15.047,32.066,6.506,3.876,14.678,12.758,6.448,24.772,12.364
32973,7155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.195,4.334,3.511,12.608,14.669,3.276,16.658,10.955
79053,68595,42.991,5.166,3.541,10.225,6.619,8.564,11.291,11.299,29.724,6.124,2.8,13.649,9.737,0.21,17.913,19.484
56525,74739,45.37,5.094,3.232,10.576,7.372,5.327,10.9,9.984,32.841,5.795,2.863,14.94,13.422,0.911,18.403,19.071
57549,56307,30.771,8.204,3.896,15.015,7.703,12.052,18.662,16.19,19.522,6.631,2.692,14.408,7.162,0.708,18.431,12.445
11469,65523,28.504,6.617,5.114,32.061,16.028,31.949,20.006,15.113,15.287,4.977,3.214,27.983,13.1,12.632,26.11,10.726
22733,55283,27.845,7.117,4.838,19.534,10.3,23.761,18.305,14.121,35.178,7.993,3.194,23.124,10.051,21.323,28.659,17.376
45261,34803,27.875,7.272,5.348,14.519,14.212,32.4,17.357,13.854,25.43,6.24,3.999,16.608,18.493,15.889,24.221,13.487
64717,11251,19.197,5.31,2.469,8.833,4.161,24.593,12.402,12.202,18.807,4.491,3.106,10.696,9.034,10.408,15.527,11.564
31949,65523,39.998,6.183,4.884,18.681,10.916,14.189,15.896,12.42,26.87,9.614,2.652,21.139,10.893,11.57,29.861,30.635
14541,5107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.181,6.774,3.121,19.211,15.613,15.623,30.065,16.593
31949,76787,29.599,6.327,4.408,15.773,9.048,24.58,16.386,12.596,24.237,7.076,3.056,17.751,6.735,5.912,22.196,18.493
11469,16371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.741,8.04,2.792,18.234,10.061,13.307,29.346,18.254
44237,76787,25.818,6.396,4.304,14.226,10.109,36.401,18.946,12.227,21.334,5.618,2.952,15.667,9.226,11.09,19.405,12.838
35021,68595,24.925,7.097,5.278,21.718,12.544,28.883,20.039,14.132,16.775,7.174,2.87,15.296,13.007,17.74,37.538,17.745
29901,48115,24.507,6.896,4.714,15.832,11.8,30.175,18.942,13.74,26.127,6.288,3.403,18.185,12.287,8.24,25.453,14.215
81101,68595,48.672,5.121,3.914,10.835,7.583,8.032,12.386,11.387,33.105,6.131,3.093,15.017,10.302,0.042,17.714,19.518
81101,52211,27.679,8.334,4.296,13.969,7.377,24.183,19.17,16.465,20.547,6.792,3.157,13.716,7.862,6.128,19.596,12.849
20685,51187,17.922,6.065,4.607,16.171,10.522,24.345,13.148,13.05,20.254,5.366,3.583,19.34,18.887,20.142,19.44,13.842
32973,77811,58.565,7.193,5.347,16.366,12.274,23.842,18.23,13.423,41.664,6.102,3.518,17.746,9.268,5.767,22.942,12.107
25805,60403,24.878,6.846,5.29,19.861,12.007,26.979,19.572,13.809,19.245,7.839,3.103,21.422,9.81,15.369,24.757,21.652
57549,61427,37.591,8.365,4.275,17.951,9.001,13.79,20.501,16.715,33.26,9.703,3.017,21.896,17.537,2.4,31.972,23.57
42189,27635,22.376,6.72,4.32,16.289,9.944,26.075,17.367,14.042,23.365,6.085,3.512,16.757,11.077,11.496,25.262,12.982
86221,49139,24.776,8.774,4.19,15.162,7.026,32.676,20.468,18.072,24.607,7.785,3.316,17.903,5.585,21.126,24.706,13.127
51405,53235,63.246,9.43,7.585,15.237,21.2,27.41,24.282,14.746,42.45,7.813,4.164,16.991,17.449,7.635,27.379,12.669
